-9.29447600000E+001,+6.18339400000E+001,-1.38144800000E+002,+3.22467900000E+001,+1.76892000000E+002
-9.81651500000E+001,+5.65775800000E+001,-1.43988100000E+002,+2.54688000000E+001,+1.69028000000E+002
-1.04357200000E+002,+5.08295600000E+001,-1.49081700000E+002,+2.05938900000E+001,+1.64043400000E+002
-1.09503900000E+002,+4.54743200000E+001,-1.55295200000E+002,+1.32970600000E+001,+1.56075000000E+002
-1.15216400000E+002,+4.04174800000E+001,-1.59273900000E+002,+9.35590000000E+000,+1.51670900000E+002
-1.20617000000E+002,+3.47537000000E+001,-1.65607700000E+002,+2.12631200000E+000,+1.44233900000E+002
-1.26324000000E+002,+2.94118900000E+001,-1.70579800000E+002,-2.94109000000E+000,+1.39095800000E+002
-1.31689700000E+002,+2.33896500000E+001,-1.77410600000E+002,-1.05344300000E+001,+1.31572800000E+002
-1.33343100000E+002,+2.25500400000E+001,-1.77166200000E+002,-1.03767700000E+001,+1.31064300000E+002
-1.39676300000E+002,+1.53889400000E+001,+1.74789000000E+002,-1.94105400000E+001,+1.22868300000E+002
-1.44659700000E+002,+1.05423900000E+001,+1.70188700000E+002,-2.41783900000E+001,+1.18033000000E+002
-1.51109100000E+002,+3.17767500000E+000,+1.62084600000E+002,-3.28285900000E+001,+1.10690200000E+002
-1.55136400000E+002,-4.44030300000E-001,+1.59026900000E+002,-3.62539300000E+001,+1.06287600000E+002
-1.61950300000E+002,-8.45845800000E+000,+1.50212800000E+002,-4.51369900000E+001,+9.90360000000E+001
-1.66690500000E+002,-1.32747000000E+001,+1.45658200000E+002,-4.98027300000E+001,+9.43416300000E+001
-1.73579700000E+002,-2.13412800000E+001,+1.37104900000E+002,-5.78688300000E+001,+8.78938600000E+001
-1.76605600000E+002,-2.55538100000E+001,+1.31729500000E+002,-6.50070500000E+001,+8.10848200000E+001
+1.78155600000E+002,-3.10337200000E+001,+1.26529900000E+002,-6.98914000000E+001,+7.62560500000E+001
+1.72695200000E+002,-3.74013100000E+001,+1.19913200000E+002,-7.64981000000E+001,+7.05948800000E+001
+1.67439800000E+002,-4.31528600000E+001,+1.14549600000E+002,-8.15297700000E+001,+6.56996800000E+001
+1.61367400000E+002,-5.02582900000E+001,+1.07059700000E+002,-8.81637000000E+001,+6.04223700000E+001
+1.56456500000E+002,-5.54467200000E+001,+1.02342500000E+002,-9.31330100000E+001,+5.52092400000E+001
